YEAR,continet,nums,nums_valid
2001,Oceania,7925,3555
2001,South America,5722,3186
2001,NA,0,0
2002,Africa,509,15
2002,Asia,5248,2997
2002,Europe,13654,10696
2002,North America,16088,7249
2002,Oceania,7955,3512
2002,South America,5633,3185
2002,NA,0,0
2003,Africa,507,15
2003,Asia,5242,2995
2003,Europe,13481,10577
2003,North America,16414,7174
2003,Oceania,7958,3466
2003,South America,5522,3132
2003,NA,0,0
2004,Africa,506,15
2004,Asia,5233,2991
2004,Europe,13278,10450
2004,North America,17408,7083
2004,Oceania,7878,3401
2004,South America,5633,3130
2004,NA,0,0
2005,Africa,501,15
2005,Asia,5266,2989
2005,Europe,13515,10311
2005,North America,17836,6993
2005,Oceania,7796,3336
2005,South America,5669,3129
2005,NA,0,0
2006,Africa,497,14
2006,Asia,5223,2977
2006,Europe,13199,10089
2006,North America,18968,6885
2006,Oceania,7686,3266
2006,South America,5790,3129
2006,NA,0,0
2007,Africa,498,14
2007,Asia,28931,2977
2007,Europe,12898,9833
2007,North America,22065,6797
2007,Oceania,7529,3197
2007,South America,5876,3128
2007,NA,0,0
2008,Africa,496,14
2008,Asia,31931,2974
2008,Europe,12834,9691
2008,North America,25116,6658
2008,Oceania,7321,3119
2008,South America,5985,3128
2008,NA,0,0
2009,Africa,490,14
2009,Asia,35801,2973
2009,Europe,12653,9515
2009,North America,27365,6495
2009,Oceania,7207,3080
2009,South America,5959,3127
2009,NA,0,0
2010,Africa,495,14
2010,Asia,35940,2972
2010,Europe,12511,9444
2010,North America,28109,6295
2010,Oceania,7096,3034
2010,South America,5931,3105
2010,NA,0,0
2011,Africa,511,14
2011,Asia,38257,2972
2011,Europe,12478,9384
2011,North America,28873,6145
2011,Oceania,6970,2977
2011,South America,5909,3085
2011,NA,0,0
2012,Africa,517,14
2012,Asia,51632,2972
2012,Europe,12282,9149
2012,North America,29262,5753
2012,Oceania,6828,2910
2012,South America,5893,3065
2012,NA,0,0
2013,Africa,521,14
2013,Asia,59158,2970
2013,Europe,12273,9089
2013,North America,29341,5185
2013,Oceania,6599,2817
2013,South America,5748,3013
2013,NA,0,0
2014,Africa,544,14
2014,Asia,60171,2962
2014,Europe,12246,9045
2014,North America,29206,4787
2014,Oceania,5957,2417
2014,South America,4914,2589
2014,NA,0,0
2015,Africa,568,14
2015,Asia,62889,2962
2015,Europe,12177,8977
2015,North America,29291,4693
2015,Oceania,5794,2368
2015,South America,4351,2229
2015,NA,0,0
2016,Africa,570,14
2016,Asia,62895,2958
2016,Europe,12162,8892
2016,North America,29559,4594
2016,Oceania,5563,2284
2016,South America,273,27
2016,NA,0,0
2017,Africa,563,13
2017,Asia,62886,2943
2017,Europe,12070,8851
2017,North America,29779,4510
2017,Oceania,5346,2209
2017,South America,265,27
2017,NA,0,0
2018,Africa,547,13
2018,Asia,67263,2941
2018,Europe,12007,8778
2018,North America,30036,4416
2018,Oceania,5150,2139
2018,South America,264,27
2018,NA,0,0
2019,Africa,828,13
2019,Asia,69256,2889
2019,Europe,12499,8679
2019,North America,30195,4318
2019,Oceania,4976,2063
2019,South America,663,27
2019,NA,0,0
2020,Africa,851,13
2020,Asia,67415,2638
2020,Europe,12159,8478
2020,North America,30917,4249
2020,Oceania,4745,1971
2020,South America,677,27
2020,NA,0,0
2021,Africa,812,13
2021,Asia,67383,2633
2021,Europe,12086,8410
2021,North America,30970,4128
2021,Oceania,4466,1884
2021,South America,658,27
2021,NA,0,0
2022,Africa,1292,13
2022,Asia,68509,2623
2022,Europe,13671,8205
2022,North America,30669,3892
2022,Oceania,4481,1731
2022,South America,1109,27
2022,NA,0,0
